산업별(1),산업별(2),산업별(3),2021,2022
정보보안,정보보안 제품(솔루션),네트워크보안 솔루션,943201,1508712
정보보안,정보보안 제품(솔루션),엔드포인트보안 솔루션,614592,555613
정보보안,정보보안 제품(솔루션),플랫폼보안/보안관리 솔루션,197830,381463
정보보안,정보보안 제품(솔루션),클라우드보안 솔루션,78623,359164
정보보안,정보보안 제품(솔루션),컨텐츠/데이터보안 솔루션,612153,612459
정보보안,정보보안 제품(솔루션),공통인프라보안 솔루션,676657,590198
정보보안,정보보안 관련 서비스,보안컨설팅,501012,572644
정보보안,정보보안 관련 서비스,보안시스템 유지관리/ 보안성 지속 서비스,416134,540244
정보보안,정보보안 관련 서비스,보안관제 서비스,400206,401337
정보보안,정보보안 관련 서비스,보안교육 및 훈련 서비스,5645,17919
정보보안,정보보안 관련 서비스,보안인증 서비스,103682,53442
정보보안,정보보안 기타,기타,-,23980
물리보안,물리보안 제품(솔루션),보안용 카메라,1656579,1742824
물리보안,물리보안 제품(솔루션),보안용 저장장치,1135883,1207656
물리보안,물리보안 제품(솔루션),보안장비 부품,718747,478239
물리보안,물리보안 제품(솔루션),물리보안 솔루션,419842,764675
물리보안,물리보안 제품(솔루션),물리보안 주변장비,161775,286299
물리보안,물리보안 제품(솔루션),출입통제 장비,556695,1087675
물리보안,물리보안 제품(솔루션),생체인식 보안시스템,478910,987022
물리보안,물리보안 제품(솔루션),경보/감시 장비,273084,314080
물리보안,물리보안 제품(솔루션),기타 제품,368103,373840
물리보안,물리보안관련 서비스,출동보안서비스,2297049,2015891
물리보안,물리보안관련 서비스,영상보안서비스,507544,491526
물리보안,물리보안관련 서비스,클라우드 서비스,220836,31385
물리보안,물리보안관련 서비스,기타보안 서비스,516400,782115